1,3M,FLLMHH,,CAR-USA,2023-04,ADD,0.7,1,0.4,39,65,26.0,0.7,2023-02-26,2023-03-05,2.0
1,3M,SJUSKB,,CAR-CAR,2023-04,ADD,0.1,0.2,0.1,5,9,4.0,0.8,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-04,ADD,-,-,-,-,-,151.0,0.4,2023-02-26,2023-03-05,
1,3M,DOMSJU,,CAR-CAR,2023-05,NEW,0.0,0.6,0.6,0,30,30.0,1.0,2023-02-26,2023-03-05,1.0
1,3M,BIMFLL,,CAR-USA,2023-05,ADD,0.1,0.5,0.4,6,32,26.0,4.3,2023-02-26,2023-03-05,2.0
1,3M,EISSJU,,CAR-CAR,2023-05,ADD,1,1.5,0.5,46,71,25.0,0.5,2023-02-26,2023-03-05,2.0
1,3M,ELHFLL,,CAR-USA,2023-05,ADD,0.7,1.1,0.5,44,76,32.0,0.7,2023-02-26,2023-03-05,2.0
1,3M,FLLFPO,,CAR-USA,2023-05,ADD,0.3,0.4,0.1,15,24,9.0,0.6,2023-02-26,2023-03-05,2.0
1,3M,FLLGGT,,CAR-USA,2023-05,ADD,0.8,1.1,0.3,56,79,23.0,0.4,2023-02-26,2023-03-05,2.0
1,3M,FLLMHH,,CAR-USA,2023-05,ADD,0.5,1,0.5,30,61,31.0,1.0,2023-02-26,2023-03-05,2.0
1,3M,SJUSKB,,CAR-CAR,2023-05,ADD,0.1,0.1,0.1,3,6,3.0,1.0,2023-02-26,2023-03-05,2.0
2,3M,TOTAL,,,2023-05,ADD,-,-,-,-,-,179.0,0.6,2023-02-26,2023-03-05,
1,3M,DOMSJU,,CAR-CAR,2023-06,NEW,0.0,0.7,0.7,0,33,33.0,1.0,2023-02-26,2023-03-05,1.0
1,3M,BIMFLL,,CAR-USA,2023-06,ADD,0.1,0.6,0.4,6,32,26.0,4.3,2023-02-26,2023-03-05,2.0
1,3M,EISSJU,,CAR-CAR,2023-06,ADD,1,1.6,0.6,46,74,28.0,0.6,2023-02-26,2023-03-05,2.0
