1,2M,BZESPR,,CAM-CAM,2023-04,ADD,20.5,21.5,1,246,258,12.0,0.0,2023-03-05,2023-03-12,2.0
1,2M,DGAPLJ,,CAM-CAM,2023-04,ADD,1,3.5,2.5,12,42,30.0,2.5,2023-03-05,2023-03-12,2.0
1,2M,DGATZA,,CAM-CAM,2023-04,ADD,3,5,2,36,60,24.0,0.7,2023-03-05,2023-03-12,2.0
1,2M,INBPLJ,,CAM-CAM,2023-04,ADD,2,3,1,24,36,12.0,0.5,2023-03-05,2023-03-12,2.0
1,2M,DGAINB,,CAM-CAM,2023-04,RDC,2,1.5,-0.5,24,18,-6.0,-0.3,2023-03-05,2023-03-12,3.0
2,2M,TOTAL,,,2023-04,ADD,-,-,-,-,-,72.0,0.1,2023-03-05,2023-03-12,
1,2M,BZESPR,,CAM-CAM,2023-05,ADD,20.5,21.5,1,246,258,12.0,0.0,2023-03-05,2023-03-12,2.0
1,2M,DGAPLJ,,CAM-CAM,2023-05,ADD,1,3.5,2.5,12,42,30.0,2.5,2023-03-05,2023-03-12,2.0
1,2M,DGATZA,,CAM-CAM,2023-05,ADD,2.5,5,2.5,30,60,30.0,1.0,2023-03-05,2023-03-12,2.0
1,2M,INBPLJ,,CAM-CAM,2023-05,ADD,1.5,3,1.5,18,36,18.0,1.0,2023-03-05,2023-03-12,2.0
2,2M,TOTAL,,,2023-05,ADD,-,-,-,-,-,90.0,0.1,2023-03-05,2023-03-12,
1,2M,BZESPR,,CAM-CAM,2023-06,ADD,20.5,21.5,1,246,258,12.0,0.0,2023-03-05,2023-03-12,2.0
1,2M,DGAPLJ,,CAM-CAM,2023-06,ADD,0.8,3.5,2.7,9,42,33.0,3.7,2023-03-05,2023-03-12,2.0
1,2M,DGATZA,,CAM-CAM,2023-06,ADD,2.3,5,2.7,27,60,33.0,1.2,2023-03-05,2023-03-12,2.0
1,2M,INBPLJ,,CAM-CAM,2023-06,ADD,1.5,3,1.5,18,36,18.0,1.0,2023-03-05,2023-03-12,2.0
2,2M,TOTAL,,,2023-06,ADD,-,-,-,-,-,96.0,0.1,2023-03-05,2023-03-12,
